iter	Logloss	Accuracy
634	0.1469295208	0.9686098655
635	0.1468052922	0.9686098655
636	0.1467669185	0.9686098655
637	0.1466554715	0.9686098655
638	0.1464738043	0.9686098655
639	0.1461780255	0.9686098655
640	0.1461096267	0.9686098655
641	0.1455814549	0.9686098655
642	0.1454279812	0.9686098655
643	0.1452048513	0.9686098655
644	0.1449613666	0.9686098655
645	0.1446513152	0.9686098655
646	0.1444115647	0.9686098655
647	0.1443991478	0.9686098655
648	0.1441975226	0.9686098655
649	0.1437375976	0.9686098655
650	0.1436004794	0.9686098655
651	0.1435440496	0.9686098655
652	0.1434405359	0.9686098655
653	0.1431120003	0.9686098655
654	0.1431003992	0.9686098655
655	0.1430230057	0.9686098655
656	0.1429944157	0.9686098655
657	0.142980102	0.9686098655
658	0.1429661699	0.9686098655
659	0.142845872	0.9686098655
660	0.142788567	0.9686098655
661	0.1427492736	0.9686098655
662	0.1424751051	0.9686098655
663	0.1422537395	0.9686098655
664	0.1420539806	0.9686098655
665	0.14175793	0.9686098655
666	0.1417295533	0.9686098655
667	0.1416189478	0.9686098655
668	0.1415322708	0.9686098655
669	0.1413429785	0.9686098655
670	0.1408425013	0.9686098655
671	0.1407610311	0.9686098655
672	0.1406476987	0.9686098655
673	0.1404272208	0.9686098655
674	0.1402954346	0.9686098655
675	0.140252337	0.9686098655
676	0.1402402425	0.9686098655
677	0.1401990935	0.9686098655
678	0.1397731161	0.9686098655
679	0.1394645714	0.9686098655
680	0.1393432561	0.9686098655
681	0.1387976141	0.9686098655
682	0.1385577283	0.9686098655
683	0.1381087196	0.9686098655
684	0.1380108503	0.9686098655
685	0.1377568576	0.9686098655
686	0.1375829972	0.9686098655
687	0.1375255575	0.9686098655
688	0.1374969983	0.9686098655
689	0.1372391599	0.9686098655
690	0.1371178325	0.9686098655
691	0.1370750119	0.9686098655
692	0.1368738225	0.9686098655
693	0.1365360239	0.9686098655
694	0.1362575089	0.9686098655
695	0.1362137936	0.9686098655
696	0.1361742293	0.9686098655
697	0.1358101804	0.9686098655
698	0.1357555663	0.9686098655
699	0.1357371161	0.9686098655
700	0.1356960801	0.9686098655
701	0.1356913839	0.9686098655
702	0.1356074655	0.9686098655
703	0.1351691986	0.9686098655
704	0.1349275679	0.9686098655
705	0.1348571807	0.9686098655
706	0.1348434646	0.9686098655
707	0.1347037777	0.9686098655
708	0.1345996464	0.9730941704
709	0.1344646235	0.9730941704
710	0.1342636407	0.9753363229
711	0.1342433982	0.9753363229
712	0.1342310951	0.9753363229
713	0.1339164215	0.9753363229
714	0.1338014743	0.9753363229
715	0.1337605695	0.9753363229
716	0.133347874	0.9753363229
717	0.133215847	0.9753363229
718	0.1331436871	0.9753363229
719	0.1331019744	0.9753363229
720	0.1329767035	0.9753363229
721	0.132947072	0.9753363229
722	0.1327136898	0.9753363229
723	0.1325691279	0.9753363229
724	0.1325308674	0.9753363229
725	0.1322150024	0.9753363229
726	0.1321340073	0.9753363229
727	0.1319315497	0.9753363229
728	0.1317380521	0.9753363229
729	0.1317042909	0.9753363229
730	0.1315611949	0.9753363229
731	0.1314123396	0.9753363229
732	0.1313588664	0.9753363229
733	0.1310977963	0.9753363229
734	0.1310398114	0.9753363229
735	0.130758426	0.9753363229
736	0.1305877419	0.9753363229
737	0.1305669479	0.9753363229
738	0.1303368877	0.9753363229
739	0.1302155147	0.9753363229
740	0.1300424718	0.9753363229
741	0.1299345921	0.9753363229
742	0.129728054	0.9775784753
743	0.1295888077	0.9775784753
744	0.129484983	0.9775784753
745	0.1294677119	0.9775784753
746	0.1292865697	0.9775784753
747	0.1291968376	0.9775784753
748	0.1290865982	0.9775784753
749	0.1289126132	0.9775784753
750	0.1281919055	0.9775784753
751	0.128080043	0.9775784753
752	0.1278681789	0.9775784753
753	0.1276850568	0.9775784753
754	0.1276621276	0.9775784753
755	0.1276173092	0.9775784753
756	0.1274628905	0.9775784753
757	0.1272695503	0.9775784753
758	0.127241277	0.9775784753
759	0.1271703319	0.9775784753
760	0.126912387	0.9775784753
761	0.1266237465	0.9775784753
762	0.1264609143	0.9775784753
763	0.126119197	0.9775784753
764	0.1261013489	0.9775784753
765	0.1260103834	0.9775784753
766	0.1259921815	0.9775784753
767	0.1257691854	0.9775784753
768	0.1257560562	0.9775784753
769	0.125426157	0.9775784753
770	0.1253257052	0.9775784753
771	0.1253108714	0.9775784753
772	0.1252142987	0.9775784753
773	0.1250279063	0.9775784753
774	0.1245476093	0.9775784753
775	0.1244438836	0.9775784753
776	0.1241888699	0.9775784753
777	0.1241633334	0.9775784753
778	0.1240668107	0.9775784753
779	0.123964845	0.9775784753
780	0.1238888351	0.9775784753
781	0.1238736635	0.9775784753
782	0.1236310429	0.9798206278
783	0.1235422168	0.9798206278
784	0.1234387472	0.9775784753
785	0.1233472529	0.9775784753
786	0.1231939395	0.9775784753
787	0.1229403929	0.9775784753
788	0.1229265172	0.9775784753
789	0.1228198448	0.9775784753
790	0.1225846484	0.9775784753
791	0.1225152064	0.9775784753
792	0.12244472	0.9775784753
793	0.1223641505	0.9775784753
794	0.1220808976	0.9775784753
795	0.1220409308	0.9775784753
796	0.1220157945	0.9775784753
797	0.1218923735	0.9775784753
798	0.1218600333	0.9775784753
799	0.1218181997	0.9775784753
800	0.1215343811	0.9775784753
801	0.1214560013	0.9775784753
802	0.1214118827	0.9775784753
803	0.1213151458	0.9775784753
804	0.1209909312	0.9775784753
805	0.1209450863	0.9775784753
806	0.1208378914	0.9775784753
807	0.1206495339	0.9775784753
808	0.1206316507	0.9775784753
809	0.1204892916	0.9775784753
810	0.1203137582	0.9775784753
811	0.1203030209	0.9775784753
812	0.1202005427	0.9775784753
813	0.1200762283	0.9798206278
814	0.1200397451	0.9798206278
815	0.1200248365	0.9798206278
816	0.1197355742	0.9798206278
817	0.1196863035	0.9798206278
818	0.1195105092	0.9798206278
819	0.119341971	0.9798206278
820	0.1192773941	0.9798206278
821	0.119254243	0.9798206278
822	0.1189763992	0.9798206278
823	0.1189601961	0.9798206278
824	0.1188373946	0.9798206278
825	0.1187152447	0.9798206278
826	0.118665632	0.9798206278
827	0.1186525905	0.9798206278
828	0.1186057964	0.9798206278
829	0.1185769528	0.9798206278
830	0.1184161511	0.9798206278
831	0.1182358472	0.9798206278
832	0.1180325976	0.9798206278
833	0.1179908512	0.9798206278
834	0.1179781468	0.9798206278
835	0.1179561962	0.9798206278
836	0.1177644253	0.9798206278
837	0.1177260857	0.9798206278
838	0.1177137857	0.9798206278
839	0.1176674511	0.9798206278
840	0.117623338	0.9798206278
841	0.1176174936	0.9798206278
842	0.1171830892	0.9798206278
843	0.11715365	0.9798206278
844	0.1171379678	0.9798206278
845	0.1171004496	0.9798206278
846	0.1168851812	0.9798206278
847	0.1166757535	0.9798206278
848	0.1166062917	0.9798206278
849	0.1165359107	0.9798206278
850	0.1164720517	0.9798206278
851	0.116403906	0.9798206278
852	0.1163095945	0.9798206278
853	0.1161918017	0.9798206278
854	0.1159832764	0.9798206278
855	0.1158206823	0.9798206278
856	0.1156400847	0.9798206278
857	0.1155537569	0.9798206278
858	0.1155244395	0.9798206278
859	0.1154308247	0.9798206278
860	0.1154029719	0.9798206278
